KELAS,HARI,MATA_KULIAH,WAKTU,RUANG,DOSEN,Kode_Kelas
3DB01,Selasa,Proyek Pemrog. Berbasis Web,7/8,E238,RHEZA ANDIKA,3DB01
3DB01,Selasa,Teknik Riset Operasional **,9/10,E238,DWI SUHARTANTO,3DB01
3DB01,Rabu,Dasar Perancangan Sistem *,1/2/3,E242,I KOMANG SUGIARTHA,3DB01
3DB01,Rabu,Cloud Computing,5/6,E326,ERNASTUTI,3DB01
3DB01,Rabu,Pengantar Grafik Komputer */**,9/10,E426,RAGIEL HADI PRAYITNO,3DB01
3DB01,Kamis,Pemrograman Multimedia 1 **,3/4,E312,DINA SUCI DARWATI,3DB01
3DB01,Kamis,Digital Marketing,6/7,E237,HANTORO ARIEF GISIJANTO,3DB01
1DC01,Senin,Bahasa Inggris,5/6,E334,MISI ELISA FATIMAH,1DC01
1DC01,Senin,Pengantar Teknologi Informasi,8/9,E226,IRNA FITRIYAH,1DC01
1DC01,Kamis,Aljabar Linier,1/2,E347,NURICHWAN,1DC01
1DC01,Kamis,Bahasa Indonesia,3/4,E347,RAFIQA MAULIDIA,1DC01
1DC01,Kamis,Rangkaian Listrik & Sistem Linier,5/6,E347,DESY KRISTYAWATI,1DC01
1DC01,Kamis,Pendidikan Pancasila *,8/9,E347,NUR PUTRI ERDIANTI,1DC01
1DC01,Jum'at,Fisika Dasar 1,1/2,E434,GATOT PRAYOGO,1DC01
1DC01,Jum'at,Matematika Dasar *,3/4,E434,JENNIE KUSUMANINGRUM,1DC01
1DC01,Jum'at,Algoritma & Pemrograman,7/8,E434,FIVI SYUKRIAH,1DC01
1DC02,Senin,Matematika Dasar *,1/2,F235,MUHAMMAD IMRON HADISANTOSA,1DC02
1DC02,Senin,Aljabar Linier,3/4,F235,DYAH CITA IRAWATI,1DC02
1DC02,Senin,Bahasa Inggris,5/6 G,E334,MISI ELISA FATIMAH,1DC02
1DC02,Rabu,Pengantar Teknologi Informasi,6/7,F235,SYARIFAH AZHARINA SYAFRUDIN,1DC02
1DC02,Rabu,Fisika Dasar 1,8/9,F235,YASMAN RIANTO,1DC02
1DC02,Kamis,Algoritma & Pemprograman,1/2,F235,ERNIANTI HASIBUAN,1DC02
1DC02,Kamis,Praktikum Algoritma & Pemprograman,3/4,F235,ERNIANTI HASIBUAN,1DC02
1DC02,Kamis,Bahasa Indonesia,3/4 G,E347,RAFIQA MAULIDIA,1DC02
1DC02,Kamis,Rangkaian Listrik & Sistem Linier,7/8,F235,RUDI IRAWAN,1DC02
1DC02,Kamis,Pendidikan Pancasila *,8/9 G,E347,NUR PUTRI ERDIANTI,1DC02
2DC01,Senin,Komputasi Big Data,,UGTV,TEAM TEACHING,2DC01
2DC01,Selasa,Manaj. Proyek Teknologi Informasi,1/2,G112,ROGAYAH,2DC01
2DC01,Selasa,Komunikasi Data,4/5,G233,MAULANA MUJAHIDIN,2DC01
2DC01,Selasa,Sistem Operasi */**,6/7/8,G233,MATIAS KRISTIAN KELVIANDY,2DC01
2DC01,Rabu,Pendidikan Agama Islam,1/2,E346,MAULANA SYARIF HIDAYATULLAH,2DC01
2DC01,Rabu,Probabilitas & Statistika,3/4,E346,RISNAWATI,2DC01
2DC01,Jum'at,Sistem Digital *,2/3/4,G2410,MUDRIKA,2DC01
2DC01,Jum'at,Bahasa Inggris,7/8,G238,ATIKA LISTYA,2DC01
2DC01,Jum'at,Elektronika Lanjut,9/10,G222,BAMBANG HARIANTO,2DC01
2DC01,Sabtu,Praktikum Komputasi Big Data,1/2,,TIM DOSEN,2DC01
2DC02,Senin,Komputasi Big Data,,UGTV,TEAM TEACHING,2DC02
2DC02,Selasa,Sistem Digital *,1/2/3,F233,SWELANDIAH ENDAH PERTIWI,2DC02
2DC02,Selasa,Praktikum Sistem Digital,4/5,F233,SWELANDIAH ENDAH PERTIWI,2DC02
2DC02,Selasa,Manajemen Proyek  Teknologi Informasi,6/7,F233,NOVITA SULISTIOWATI,2DC02
2DC02,Rabu,Sistem Operasi  */**,8/9,F233,FARID THALIB,2DC02
2DC02,Kamis,Elektronika Lanjut,2/3,F233,WIDYASTUTI,2DC02
2DC02,Kamis,Praktikum Elektronika Lanjut,4/5,F233,WIDYASTUTI,2DC02
2DC02,Kamis,Bahasa Inggris,6/7,F233,SRI HARTATI,2DC02
2DC02,Jumat,Komunikasi Data,3/4,F233,EMY HARYATMI,2DC02
2DC02,Jumat,Pendidikan Agama Islam,7/8,F233,MASWANIH,2DC02
2DC02,Sabtu,Praktikum Komputasi Big Data,1/2,,TIM DOSEN,2DC02
2DC02,Sabtu,Probabilitas & Statistika,3/4,F233,RINA SUGIARTI,2DC02
3DC01,Senin,Sistem Tertanam (Embedded Sys.) *,1/2/3,D623,FARID THALIB,3DC01
3DC01,Senin,Analisis Kinerja Sistem,4/5,D623,PURNAWARMAN MUSA,3DC01
3DC01,Rabu,Pemrograman Perangkat Bergerak,1/2,D624,SUNNY ARIEF SUDIRO,3DC01
3DC01,Rabu,Jaringan Komputer Lanjut,3/4/5,D624,EMY HARYATMI,3DC01
3DC01,Rabu,Etika Profesi,9/10,D635,ARI ROSEMALA TRIASARI,3DC01
3DC01,Kamis,Aplikasi Internet of Things (IoT),1/2/3/4,E338,SWELANDIAH ENDAH PRATIWI,3DC01
3DC01,Kamis,Robotika **,6/7,E514,ALFIE SYAHRI,3DC01
3DC02,Senin,Sistem Tertanam ( Embedded System)*,1/2/3,F232,ROBBY KURNIAWAN HARAHAP,3DC02
3DC02,Senin,Praktikum Sistem Tertanam ( Embedded System),4/5,F232,ROBBY KURNIAWAN HARAHAP,3DC02
3DC02,Senin,Robotika **,9/10,F232,MARA NUGRAHA,3DC02
3DC02,Selasa,Jaringan Komputer  Lanjut,1/2,F232,ARY BIMA KURNIAWAN,3DC02
3DC02,Selasa,Praktikum Jaringan Komputer Lanjut,3/4,F232,ARY BIMA KURNIAWAN,3DC02
3DC02,Selasa,Analisis Kinerja Sistem,6/7,F232,SINGGIH JATMIKO,3DC02
3DC02,Kamis,Etika Profesi,3/4,F232,OKTAVIANI,3DC02
3DC02,Jumat,Aplikasi Internet of Things (Capstone Project),1/2/3/4,F232,MOHAMMAD IQBAL,3DC02
3DC02,Jumat,Pemrograman Perangkat Bergerak,7/8,F232,DIANA IKASARI,3DC02
3DC02,Jumat,Praktikum Pemrograman Perangkat Bergerak,9/10,F232,DIANA IKASARI,3DC02
1DA01,Rabu,Algoritma & Pemrograman 1B **,3/4,F8482,AHMAD HIDAYAT,1DA01
1DA01,Rabu,Pengantar Akuntansi 1 & Prak. **,6/7/8,F8452,IRA PHAJAR LESTARI,1DA01
1DA01,Rabu,Peng. Komputer 1B & Prak. **,9/10,F8452,ERNIANTI HASIBUAN,1DA01
1DA01,Kamis,Algoritma & Pemrograman 1A **,1/2,G433,EGY WISNU MOYO,1DA01
1DA01,Kamis,Komunikasi B.Inggris Bisnis 1,3/4,G433,DYANI MASITA DEWI,1DA01
1DA01,Kamis,Pengantar Bisnis,5/6,G433,RISA SEPTIANI,1DA01
1DA01,Kamis,Peng. Komputer 1C & Prak. **,9/10,G424,WINARSIH,1DA01
1DA01,Jum'at,Pendidikan Kewarganegaraan,1/2,E521,SULISTINING TRIMULYANI,1DA01
1DA01,Jum'at,Pengantar Ekonomi,3/4,E521,ELVIA FARDIANA,1DA01
1DA01,Sabtu,Ilmu Alamiah Dasar,1/2,E423,MINIK RINAYANTI,1DA01
1DA01,Sabtu,Peng. Komputer 1A & Prak. **,3/4,E423,FRANOVA/MARIA SRI WULANDARI,1DA01
1DA01,Sabtu,Pendidikan Agama Islam,6/7,E423,FATCHULLAH ZARKASI,1DA01
1DA02,Rabu,Pengantar Akuntansi 1 & Prak**,1/2,F223,IRA PHAJAR LESTARI,1DA02
1DA02,Rabu,Pengantar Komputer 1 & Prak**,4/5,F223,RINI ARIANTY,1DA02
1DA02,Rabu,Pengantar Ekonomi,6/7,F223,DANDY KURNIA,1DA02
1DA02,Rabu,Komunikasi Bahasa Inggris Bisnis 1,8/9,F223,SEPTIAN DWI PUTRI,1DA02
1DA02,Kamis,Pengantar Bisnis,2/3,F223,ALDILLA KURNIA D P,1DA02
1DA02,Kamis,Algoritma & Pemrograman 1**,4/5,F223,WITARI ARYUNANI,1DA02
1DA02,Jumat,Pendidikan Kewarganegaraan,1/2 G,E521,SULISTINING TRIMULYANI,1DA02
1DA02,Sabtu,Ilmu Alamiah Dasar,1/2 G,E423,MINIK RINAYANTI,1DA02
1DA02,Sabtu,Pendidikan Agama Islam,6/7 G,E423,FATCHULLAH ZARKASI,1DA02
2DA01,Senin,Social Networking & Creative,,UGTV,TEAM TEACHING,2DA01
2DA01,Selasa,Pengantar Manajemen,1/2,G144,DINI DWI ERMAWATI,2DA01
2DA01,Selasa,Komp. Perpajakan 1 & Prak.**,5/6,G226,HARYONO,2DA01
2DA01,Selasa,Statistika 1 & Prak. */**,7/8/9,G226,EVA PRODITUS SIANTURI,2DA01
2DA01,Rabu,Kewirausahaan,3/4,E246,ESTININGSIH,2DA01
2DA01,Rabu,Akuntansi Keu.Menengah 1A&Prak **,7/8,E213,SYNTHA NOVIYANA,2DA01
2DA01,Rabu,Akuntansi Keu.Menengah 1B&Prak **,9/10,E213,SYNTHA NOVIYANA,2DA01
2DA01,Kamis,Prak. Social Networking&Creative Content,1/2,,TIM DOSEN,2DA01
2DA01,Sabtu,Perangkat Lunak Akt.1&Prak.**,1/2,ELab53,SAMUEL DAVID LEE,2DA01
2DA01,Sabtu,Komp. Anggaran 1 & Prak. **,3/4,E222,DINI SEPTIANI,2DA01
2DA01,Sabtu,Pemrograman Akuntansi 1 */**,6/7,ELab53,TERTIO KUNTO DEWO,2DA01
2DA02,Senin,Social Networking & Creative Content,,UGTV,TEAM TEACHING,2DA02
2DA02,Senin,Komputerisasi Anggaran 1 & Prak**,2/3,F221,LANA SULARTO,2DA02
2DA02,Senin,Akunt.Keuangan Menengah 1 & Prak**,5/6/7,F221,SUNDARI,2DA02
2DA02,Selasa,Statistika 1 & Prak*/**,1/2,F221,ADI KUSWANTO,2DA02
2DA02,Selasa,Pengantar Manajemen,3/4,F221,AGUS SRI ISWIYANTI,2DA02
2DA02,Selasa,Kewirausahaan,7/8,F221,SRI MURTIASIH,2DA02
2DA02,Kamis,Perangkat Lunak Akuntansi 1 & Prak**,1/2,F221,SRI SAPTO DARMAWATI,2DA02
2DA02,Kamis,Pemrograman Akuntansi 1*/**,3/4,F221,HANTORO ARIEF GISIJANTO,2DA02
2DA02,Kamis,Komputerisasi Perpajakan 1 & Prak**,6/7,F221,SILVIA AVIRA,2DA02
2DA02,Sabtu,Prak. Social Networking&Creative Content,3/4,,TIM DOSEN,2DA02
3DA01,Selasa,Sistem Informasi Akuntansi *,1/2,E425,DYAH MIETA SETYAWATI,3DA01
3DA01,Selasa,Akuntansi Biaya *,4/5/6,E236,DIANA SARI,3DA01
3DA01,Selasa,Akuntansi Manajemen & Prak **,8/9/10,E521,KATARINA CLAUDIA SRIMURNI,3DA01
3DA01,Kamis,Manajemen Keuangan & Prak**,4/5/6,E413,ROFI'AH,3DA01
3DA01,Kamis,Akuntansi Keu.Lanjut 1&Prak**,8/9/10,E413,ZAIDATUN EKASTUTI,3DA01
3DA01,Sabtu,Komunikasi B.Inggris Bisnis 3,1/2,E432,ANGGI PUTRI ULFIA,3DA01
3DA01,Sabtu,Auditing 1 & Prak. **,3/4/5,E432,GANIS HIDAYAT,3DA01
3DA01,Sabtu,Akuntansi Sektor Publik *,7/8,E432,SAMUEL DAVID LEE,3DA01
3DA02,Senin,Manajemen Keuangan & Prak **,1/2/3,F222,RENI ANGGRAINI,3DA02
3DA02,Senin,Auditing 1 & Prak**,5/6/7,F222,NOOR MUHAMMAD ADIPATI,3DA02
3DA02,Rabu,Komunikasi Bahasa Inggris Bisnis 3,1/2,F222,MERISKA YOSIANA,3DA02
3DA02,Rabu,Akuntansi Sektor Publik*,3/4,F222,FENY FIDYAH,3DA02
3DA02,Rabu,Akuntansi Manajemen & Prak**,6/7/8,F222,SRI KURNIASIH AGUSTIN,3DA02
3DA02,Kamis,Akuntansi Keuangan Lanjut 1 & Prak**,1/2/3,F222,ZAIDATUN EKASTUTI,3DA02
3DA02,Kamis,Sistem Informasi Akuntansi*,5/6,F222,MASODAH,3DA02
3DA02,Jumat,Akuntansi Biaya*,1/2/3,F222,DIONYSIA KOWANDA,3DA02
1DD01,Senin,Pendidikan Agama Islam,1/2,G231,ISMAIL AKBAR BRAHMA,1DD01
1DD01,Senin,Pengantar Akuntansi 1 & Prak **,3/4,G231,REYNALDI,1DD01
1DD01,Kamis,Manajemen Penjualan,1/2,G143,VELY RANDYANTINI,1DD01
1DD01,Kamis,Ekonomika 1,3/4,G143,RADEN SUPRIYANTO,1DD01
1DD01,Kamis,Peng.Aplikasi Komputer B&Prak**,5/6,G143,AHMAD HIDAYAT,1DD01
1DD01,Kamis,Peng.Aplikasi Komputer C&Prak**,8/9,G142,IWAN,1DD01
1DD01,Jum'at,Pendidikan Kewarganegaraan,3/4,G223,SULISTINING TRIMULYANI,1DD01
1DD01,Jum'at,Matematika Bisnis A,7/8,G234,YULI FITRIYANI,1DD01
1DD01,Jum'at,Pengantar Bisnis dan Pemasaran,9/10,G234,OKTARINA NUR WIDYANTI,1DD01
1DD01,Sabtu,Ilmu Alamiah Dasar,3/4,E244,MINIK RINAYANTI,1DD01
1DD01,Sabtu,Peng.Aplikasi Komputer A&Prak**,5/6,E244,FRANOVA/MARIA SRI WULANDARI,1DD01
1DD01,Sabtu,Matematika Bisnis B,7/8,E244,NONO SUWARNO,1DD01
1DD02,Senin,Pendidikan Agama Islam,1/2 G,G231,ISMAIL AKBAR BRAHMA,1DD02
1DD02,Rabu,Ekonomika 1,3/4,F212,HERRY SUSSANTO,1DD02
1DD02,Rabu,Pengantar Akuntansi 1 & Prak **,6/7,F212,ISTICHANAH,1DD02
1DD02,Kamis,Peng. Bisnis & Pemasaran,1/2,F212,BAGUS NURCAHYO,1DD02
1DD02,Kamis,Matematika Bisnis,3/4,F212,FANI YAYUK SUPOMO,1DD02
1DD02,Kamis,Manajemen Penjualan,6/7,F212,RINA NOFIYANTI,1DD02
1DD02,Jumat,Pengantar Aplikasi Komputer dan Prak **,1/2,F212,NOVRINA,1DD02
1DD02,Jumat,Pendidikan Kewarganegaraan,3/4 G,G223,SULISTINING TRIMULYANI,1DD02
1DD02,Sabtu,Ilmu Alamiah Dasar,3/4 G,E244,MINIK RINAYANTI,1DD02
2DD01,Senin,Social Networking & Creative,,UGTV,TEAM TEACHING,2DD01
2DD01,Selasa,Manajemen Ritel,1/2,G423,ARMAINI AKHIRSON,2DD01
2DD01,Selasa,Manajemen Sumber Daya Manusia *,3/4,G423,SARIYATI,2DD01
2DD01,Selasa,Statistika 1 & Prak. */**,5/6/7,G423,ADINDA NURUL HUDA M,2DD01
2DD01,Selasa,Kewirausahaan 2,9/10,G423,DINI DWI ERMAWATI,2DD01
2DD01,Rabu,Manajemen Keuangan 1 & Prak **,4/5/6,E513,CHRISTINA DEWI WULANDARI,2DD01
2DD01,Rabu,Manajemen Pemasaran 1,7/8,E513,YUSYE MILAWATY,2DD01
2DD01,Kamis,Prak. Social Networking&Creative Content,3/4,,TIM DOSEN,2DD01
2DD01,Sabtu,Komputerisasi Peranggaran 1 **,1/2,E131,DINI SEPTIANI,2DD01
2DD01,Sabtu,Komp. Multimedia Pemasaran 1,3/4/5,E131,ITAR MINTARSIH,2DD01
2DD02,Senin,Social Networking & Creative Content,,UGTV,TEAM TEACHING,2DD02
2DD02,Senin,Manajemen Sumber Daya Manusia*,3/4,F225,SARIYATI,2DD02
2DD02,Rabu,Komputer Multimedia Pemasaran 1,1/2,F225,DEWI ANGGRAINI PUSPA HAPSARI,2DD02
2DD02,Rabu,Statistika 1 & Praktikum       */**,3/4,F225,SUZANNA LAMRIA SIREGAR,2DD02
2DD02,Rabu,Manajemen Ritel,6/7,F225,TEDDY OSWARI,2DD02
2DD02,Kamis,Manajemen Pemasaran 1,1/2,F225,SRI KURNIASIH AGUSTIN,2DD02
2DD02,Kamis,Kewirausahaan 2,3/4,F225,MULATSIH,2DD02
2DD02,Kamis,Komputerisasi Peranggaran 1  **,6/7,F225,SRI SUPADMINI,2DD02
2DD02,Jumat,Manajemen Keuangan 1 & Praktikum  **,1/2/3,F225,ASTRIED PERMANASARI,2DD02
2DD02,Sabtu,Prak. Social Networking&Creative Content,6/7,,TIM DOSEN,2DD02
3DD01,Senin,Riset Pemasaran,1/2,E223,HANTORO ARIEF GISIJANTO,3DD01
3DD01,Senin,Manaj. Pemasaran Jasa & Prak. **,3/4,E223,HARIYATNO,3DD01
3DD01,Senin,Aspek Hukum dalam Ekonomi,6/7,E246,IKA PUJI SAPUTRI,3DD01
3DD01,Senin,Manajemen Strategi Pemasaran,8/9/10,E246,ANGGA PUTRI EKANOVA,3DD01
3DD01,Selasa,Akuntansi Biaya & Prak. */**,3/4,E316,SYNTHA NOVIYANA,3DD01
3DD01,Selasa,Promosi dan Periklanan 1,5/6,E316,WIDIO NUGROHO,3DD01
3DD01,Selasa,Sistem Informasi Manajemen *,8/9,E315,CAHYAWATI DIAH KUSUMARINI,3DD01
3DD01,Kamis,Pemasaran Usaha Kecil Menengah,1/2,E442,BUDI SANTOSA2,3DD01
3DD01,Kamis,Komunikasi Pemasaran & Prakt. **,3/4,E442,AGUS SRI ISWIYANTI,3DD01
3DD01,Kamis,Bahasa Inggris Bisnis,6/7,E443,AULIA HARIS FIRSTIYANTI,3DD01
3DD02,Senin,Pemasaran Usaha Kecil Menengah,1/2,F224,IRWANDARU DANANJAYA,3DD02
3DD02,Senin,Promosi dan Periklanan 1,3/4,F224,NOVA ANGGRAINIE,3DD02
3DD02,Senin,Riset Pemasaran,6/7,F224,SRI HERMAWATI,3DD02
3DD02,Senin,Aspek Hukum Dalam Bisnis,8/9,F224,SUARDI,3DD02
3DD02,Rabu,Akuntansi Biaya & Praktikum  */**,1/2,F224,DIANA SARI,3DD02
3DD02,Rabu,Sistem Informasi Manajemen*,5/6,F224,YENI SETIANI,3DD02
3DD02,Rabu,Manajemen Strategi Pemasaran,7/8/9,F224,ROOSHWAN BUDHI UTOMO,3DD02
3DD02,Jumat,Bahasa Inggris Bisnis,1/2,F224,DEA ADLINA,3DD02
3DD02,Jumat,Manajemen Pemasaran Jasa & Praktikum **,3/4,F224,RENI DIAH KUSUMAWATI,3DD02
3DD02,Jumat,Komunikasi Pemasaran & Prak**,7/8,F224,ADE RACHMAWATI NURFITRI,3DD02
1KA01,Senin,Pendidikan Pancasila *,1/2,G247,SINGGIH HARDJANTO,1KA01
1KA01,Senin,Fisika & Kimia Dasar A,3/4,G247,SINGGIH JATMIKO,1KA01
1KA01,Senin,Matematika Dasar 1A,6/7,G343,VERONICA ERNITA KRISTIANTI,1KA01
1KA01,Senin,Algoritma & Pemrograman 1C *,8/9,G343,ETY SUTANTY,1KA01
1KA01,Rabu,Algoritma & Pemrograman 1A *,1/2,D622,SYAMSI RUHAMA,1KA01
1KA01,Rabu,Algoritma & Pemrograman 1B *,3/4,D622,PURWANTI,1KA01
1KA01,Rabu,Konsep Sist.&Tek.Sist.Inf. C*/**,5/6,D622,YUCE YULIANI,1KA01
1KA01,Jum'at,Digital Citizenship,1/2,G113,MIFTAHUL JANNAH,1KA01
1KA01,Jum'at,Peng. Bisnis dan Ekonomi Digital,3/4,G113,KARTIKA SARI,1KA01
1KA01,Jum'at,Konsep Sist.&Tek.Sist.Inf. A*/**,7/8,G452,RAHMAYANTI,1KA01
1KA01,Sabtu,Konsep Sist.&Tek.Sist.Inf. B*/**,1/2,E133,IWAN,1KA01
1KA01,Sabtu,Ilmu Sosial & Budaya Dasar,3/4,E133,SRI MULIANINGSIH,1KA01
1KA01,Sabtu,Fisika & Kimia Dasar B,5/6,E133,AL AZIZ ABBIE ROOSSANO,1KA01
1KA01,Sabtu,Matematika Dasar 1B,8/9,E133,MUHAMMAD MOLDYNNIZ MUTIARA,1KA01
1KA02,Rabu,Konsep Sist.&Tek.Sist.Inf. A*/**,1/2,D661,MASIMBANGAN SUSANNA HERAWATI,1KA02
1KA02,Rabu,Pendidikan Pancasila *,3/4,D661,SUKARMAN,1KA02
1KA02,Rabu,Algoritma & Pemrograman 1A *,6/7,D654,RINA REFIANTI MUTIARA,1KA02
1KA02,Rabu,Fisika & Kimia Dasar A,9/10,D637,SINGGIH JATMIKO,1KA02
1KA02,Kamis,Konsep Sist.&Tek.Sist.Inf. C*/**,1/2,G432,SARI NOORLIMA YANTI,1KA02
1KA02,Kamis,Konsep Sist.&Tek.Sist.Inf. B*/**,5/6,G343,EKA FITRI RAHAYU,1KA02
1KA02,Kamis,Matematika Dasar 1A,7/8,G343,ALONA SITUMEANG,1KA02
1KA02,Jum'at,Fisika & Kimia Dasar B,1/2,G218,AGUS HADI ISMOYO,1KA02
1KA02,Jum'at,Matematika Dasar 1B,3/4,G218,PRISKA RESTU UTAMI,1KA02
1KA02,Jum'at,Peng. Bisnis dan Ekonomi Digital,7/8,G431,KARTIKA SARI,1KA02
1KA02,Sabtu,Algoritma & Pemrograman 1C *,1/2,G216,KOMANG ANOM BUDI UTAMA,1KA02
1KA02,Sabtu,Digital Citizenship,3/4,G216,ANISA OKTAVIANI,1KA02
1KA02,Sabtu,Ilmu Sosial & Budaya Dasar,6/7,G216,AULIA GUNTUR WIBISONO,1KA02
1KA02,Sabtu,Algoritma & Pemrograman 1B *,8/9,G216,ALBERTUS BAYU AJI PRIYONO,1KA02
1KA03,Senin,Matematika Dasar 1B,4/5,G347,HERIK SUGERU,1KA03
1KA03,Senin,Algoritma & Pemrograman 1C *,6/7,G347,ELVINA,1KA03
1KA03,Rabu,Algoritma & Pemrograman 1B *,1/2,D623,PURWANTI,1KA03
1KA03,Rabu,Fisika & Kimia Dasar B,3/4,D623,ERMAWATI,1KA03
1KA03,Rabu,Digital Citizenship,5/6,D623,HENDRI DWI PUTRA,1KA03
1KA03,Rabu,Ilmu Sosial & Budaya Dasar,9/10,D623,ADITYA RIAN RAMADHAN,1KA03
1KA03,Kamis,Matematika Dasar 1A,1/2,G223,EVAN PURNAMA RAMDAN,1KA03
1KA03,Kamis,Konsep Sist.&Tek.Sist.Inf. C*/**,3/4,G223,SARI NOORLIMA YANTI,1KA03
1KA03,Kamis,Peng. Bisnis dan Ekonomi Digital,7/8,G133,KARTIKA SARI,1KA03
1KA03,Kamis,Pendidikan Pancasila *,9/10,G133,DYAN TANJUNG GUNOTOMO,1KA03
1KA03,Jum'at,Algoritma & Pemrograman 1A *,1/2,E331,SYAMSI RUHAMA,1KA03
1KA03,Jum'at,Konsep Sist.&Tek.Sist.Inf. A*/**,3/4,E331,FIVI SYUKRIAH,1KA03
1KA03,Jum'at,Fisika & Kimia Dasar A,7/8,E139,ARIYANTO1,1KA03
1KA03,Jum'at,Konsep Sist.&Tek.Sist.Inf. B*/**,9/10,E139,NUR PUTRI AGUSTIYANI,1KA03
1KA04,Senin,Peng. Bisnis dan Ekonomi Digital,1/2,G115,NOVITA SULISTIOWATI,1KA04
1KA04,Senin,Algoritma & Pemrograman 1C *,3/4,G115,OCTARINA BUDI LESTARI,1KA04
1KA04,Senin,Algoritma & Pemrograman 1A *,5/6,G133,TRI SULISTYORINI,1KA04
1KA04,Senin,Konsep Sist.&Tek.Sist.Inf. C*/**,9/10,G247,WINARSIH,1KA04
1KA04,Rabu,Digital Citizenship,1/2,D611,RISMA RAHMALIA FITRIANI,1KA04
1KA04,Rabu,Konsep Sist.&Tek.Sist.Inf. A*/**,3/4,D611,MASIMBANGAN SUSANNA HERAWATI,1KA04
1KA04,Rabu,Algoritma & Pemrograman 1B *,7/8,D623,PURWANTI,1KA04
1KA04,Kamis,Pendidikan Pancasila *,1/2,G116,HELNAWATY,1KA04
1KA04,Kamis,Matematika Dasar 1B,4/5,G133,DIDIEK PRAMONO,1KA04
1KA04,Kamis,Konsep Sist.&Tek.Sist.Inf. B*/**,6/7,G116,IWAN,1KA04
1KA04,Kamis,Matematika Dasar 1A,9/10,G116,RAVI AHMAD SALIM,1KA04
1KA04,Sabtu,Fisika & Kimia Dasar A,3/4,G218,LAODE MOHAMMAD RASDI RERE,1KA04
1KA04,Sabtu,Fisika & Kimia Dasar B,5/6,G218,RATNA KOMALA,1KA04
1KA04,Sabtu,Ilmu Sosial & Budaya Dasar,7/8,G218,SRI MULIANINGSIH,1KA04
1KA05,Senin,Digital Citizenship,1/2,G116,ANISA OKTAVIANI,1KA05
1KA05,Senin,Fisika & Kimia Dasar B,3/4,G116,HENING HENDRATO,1KA05
1KA05,Senin,Fisika & Kimia Dasar A,5/6,G116,ANY KURNIAWATY YAPIE,1KA05
1KA05,Senin,Ilmu Sosial & Budaya Dasar,8/9,G125,RATNA SUSILOWATI,1KA05
1KA05,Rabu,Konsep Sist.&Tek.Sist.Inf. C*/**,1/2,D657,LATIPATURACHMANIAH,1KA05
1KA05,Rabu,Matematika Dasar 1B,3/4,D657,DIDIEK PRAMONO,1KA05
1KA05,Rabu,Algoritma & Pemrograman 1B *,5/6,D657,PURWANTI,1KA05
